num_date_time,건물번호,일시,기온(C),강수량(mm),풍속(m/s),습도(%),건물유형,연면적(m2),냉방면적(m2),태양광용량(kW),ESS저장용량(kWh),PCS용량(kW)
1_20220825 00,1,2022082500,23.5,0,2.2,72,건물기타,110634,39570,-,-,-
1_20220825 01,1,2022082501,23,0,0.9,72,건물기타,110634,39570,-,-,-
1_20220825 02,1,2022082502,22.7,0,1.5,75,건물기타,110634,39570,-,-,-
1_20220825 03,1,2022082503,22.1,0,1.3,78,건물기타,110634,39570,-,-,-
1_20220825 04,1,2022082504,21.8,0,1,77,건물기타,110634,39570,-,-,-
1_20220825 05,1,2022082505,21.6,0,1.6,81,건물기타,110634,39570,-,-,-
1_20220825 06,1,2022082506,21.5,0,2.3,84,건물기타,110634,39570,-,-,-
1_20220825 07,1,2022082507,21.7,0,1.4,83,건물기타,110634,39570,-,-,-
1_20220825 08,1,2022082508,22.3,0,2.2,82,건물기타,110634,39570,-,-,-
1_20220825 09,1,2022082509,22.7,0,2.4,78,건물기타,110634,39570,-,-,-
1_20220825 10,1,2022082510,23.5,0,1,77,건물기타,110634,39570,-,-,-
1_20220825 11,1,2022082511,24,0,1.6,76,건물기타,110634,39570,-,-,-
1_20220825 12,1,2022082512,23.8,0.7,0.7,82,건물기타,110634,39570,-,-,-
1_20220825 13,1,2022082513,23,0.3,2.8,85,건물기타,110634,39570,-,-,-
1_20220825 14,1,2022082514,22.5,0.5,2.4,90,건물기타,110634,39570,-,-,-
1_20220825 15,1,2022082515,22.1,0.1,1.6,63,건물기타,110634,39570,-,-,-
1_20220825 16,1,2022082516,22.5,0,2.4,71,건물기타,110634,39570,-,-,-
1_20220825 17,1,2022082517,22.6,0,3,79,건물기타,110634,39570,-,-,-
1_20220825 18,1,2022082518,22.5,0,2,79,건물기타,110634,39570,-,-,-
1_20220825 19,1,2022082519,22.2,0,1.9,79,건물기타,110634,39570,-,-,-
1_20220825 20,1,2022082520,21.9,0,2.6,79,건물기타,110634,39570,-,-,-
1_20220825 21,1,2022082521,21.7,0,2.7,79,건물기타,110634,39570,-,-,-
1_20220825 22,1,2022082522,21.4,0,0.6,79,건물기타,110634,39570,-,-,-
1_20220825 23,1,2022082523,21.2,0,1.7,82,건물기타,110634,39570,-,-,-
1_20220826 00,1,2022082600,21.1,0,1.7,81,건물기타,110634,39570,-,-,-
1_20220826 01,1,2022082601,20.8,0,2.3,82,건물기타,110634,39570,-,-,-
1_20220826 02,1,2022082602,20.8,0,2.4,83,건물기타,110634,39570,-,-,-
1_20220826 03,1,2022082603,20.3,0,1.8,85,건물기타,110634,39570,-,-,-
1_20220826 04,1,2022082604,20.4,0,2,87,건물기타,110634,39570,-,-,-
1_20220826 05,1,2022082605,20.5,0,0.8,86,건물기타,110634,39570,-,-,-
1_20220826 06,1,2022082606,20.1,0,0.9,88,건물기타,110634,39570,-,-,-
1_20220826 07,1,2022082607,20,0,1.4,89,건물기타,110634,39570,-,-,-
1_20220826 08,1,2022082608,21.3,0,2,87,건물기타,110634,39570,-,-,-
1_20220826 09,1,2022082609,22.8,0,0.9,80,건물기타,110634,39570,-,-,-
1_20220826 10,1,2022082610,23.9,0,2.1,75,건물기타,110634,39570,-,-,-
1_20220826 11,1,2022082611,25.6,0,1.2,71,건물기타,110634,39570,-,-,-
1_20220826 12,1,2022082612,26.5,0,2.3,64,건물기타,110634,39570,-,-,-
1_20220826 13,1,2022082613,27.3,0,1.9,61,건물기타,110634,39570,-,-,-
1_20220826 14,1,2022082614,27.4,0,2.5,58,건물기타,110634,39570,-,-,-
1_20220826 15,1,2022082615,28.2,0,3.8,57,건물기타,110634,39570,-,-,-
1_20220826 16,1,2022082616,27.9,0,4.2,60,건물기타,110634,39570,-,-,-
1_20220826 17,1,2022082617,26.6,0,4.1,61,건물기타,110634,39570,-,-,-
1_20220826 18,1,2022082618,25.9,0,3.4,67,건물기타,110634,39570,-,-,-
1_20220826 19,1,2022082619,24.8,0,4,69,건물기타,110634,39570,-,-,-
1_20220826 20,1,2022082620,24.1,0,2.5,77,건물기타,110634,39570,-,-,-
1_20220826 21,1,2022082621,23.7,0,2.7,79,건물기타,110634,39570,-,-,-
1_20220826 22,1,2022082622,23.4,0,3.3,80,건물기타,110634,39570,-,-,-
1_20220826 23,1,2022082623,23.1,0,2.5,82,건물기타,110634,39570,-,-,-
1_20220827 00,1,2022082700,23.1,0,2.2,82,건물기타,110634,39570,-,-,-
1_20220827 01,1,2022082701,23.2,0,2.6,80,건물기타,110634,39570,-,-,-
